Word,Probability,Data
n e m,2.81538583716e-07,11
k i r,5.00006787612e-08,51
b e h,7.76790483953e-08,53
h e f,7.41290346779e-09,67
r e g,1.16749249862e-08,18
t e v,2.26250011063e-08,81
m i w,1.95312498433e-09,62
N i v,1.4467065822e-07,61
l e z,1.95359006759e-09,4
j i s,1.95312498435e-09,35
s e b,1.8497506896e-07,70
w e r,1.95312498434e-09,55
g i l,3.90934212472e-08,1
g e f,1.82154566781e-07,94
d i r,1.97171420449e-07,25
v e g,2.3910400878e-07,79
z i p,3.13558189312e-07,99
n i z,8.48131249309e-08,24
t e v,2.21939106604e-08,79
z e m,1.61332034273e-07,17
n i h,2.24540323931e-07,71
r e l,1.16370943295e-06,83
p i t,1.53593931263e-07,48
m i b,3.68197445176e-07,46
h e N,3.61610049263e-06,78
b i N,5.09307767258e-07,17
w i k,2.19805056859e-08,27
m i t,2.13844529848e-07,15
s e z,1.50971784433e-08,46
j i b,8.42974365516e-09,70
j e j,1.95312498433e-09,4
v i v,1.95663557982e-09,93
w i N,1.74044652342e-07,62
n e f,2.41264646899e-07,85
s i d,9.84439895717e-08,3
g e n,1.98642659595e-06,99
n e t,2.24262743984e-07,24
s i r,2.64624318274e-07,60
p i r,2.04143403709e-08,85
v e t,1.91921799866e-07,63
f i j,1.95312498434e-09,50
l e w,1.95312498433e-09,64
k e d,6.79406446662e-08,11
b i d,1.52695076952e-07,68
g e s,2.09709757247e-07,35
r i n,1.94489121246e-08,51
h i g,1.76285366076e-06,49
g i N,9.43915887672e-07,52
z e f,1.96058389516e-09,75
n i m,2.74457225804e-07,9
m e n,8.12064205117e-07,58
w i h,1.95312498435e-09,41
p e f,6.63868691674e-08,79
f i r,2.12363365747e-08,90
r e k,6.52873567502e-09,7
l i l,1.9531249843e-09,90
N i z,1.74555897777e-07,40
l e v,1.95312498437e-09,11
s e f,1.95561128793e-09,75
j i v,1.9531249843e-09,89
b i g,2.30508950377e-07,21
f e d,2.3789535162e-07,65
g e b,2.28534339055e-07,83
d i v,1.19478460088e-08,12
r i j,1.95312498435e-09,40
h i z,4.18693593638e-08,95
z e s,2.47562070935e-08,81
p e l,3.73016173331e-08,80
w e l,1.95312498435e-09,40
m e v,6.89652438453e-08,66
n i l,1.95312498431e-09,82
t i v,3.71232967634e-08,93
k e f,6.01591533875e-08,89
t e g,1.93657647187e-07,24
m i f,2.16947057778e-07,51
l e k,2.35463452579e-08,37
d e w,1.95312748865e-09,19
N e k,7.08345595344e-07,46
j e n,1.95312498445e-09,15
N e n,1.13551521293e-06,24
l e l,1.95312498433e-09,61
f e g,2.26687310428e-07,24
s i g,3.52984280392e-07,60
n e p,2.36535777068e-07,15
v i N,4.14841543877e-07,22
m i m,4.04487828589e-07,29
p e k,2.26851647838e-07,9
m e w,1.97795033362e-09,9
k e j,1.95312498803e-09,31
f i n,5.96287555774e-07,61
h e j,1.95312498768e-09,29
l e s,1.95312498431e-09,77
t e f,4.44250146619e-08,67
N i m,8.18630787666e-07,89
w i m,3.8385267248e-08,83
k e N,7.70557579293e-07,65
z i k,6.43692797137e-08,5
w e l,1.9531249843e-09,86
k i l,1.35864083759e-08,32
m e N,1.7188114502e-06,73
k i z,1.36015673101e-08,29
v e z,2.73418029539e-08,75
d i l,2.22711652732e-08,96
z e p,3.96741482751e-07,86
h e w,1.9531249843e-09,88
w i d,7.11827146143e-09,29
m i N,1.64587613542e-06,57
p i m,2.88690035713e-07,1
f e g,5.46107877843e-07,99
p e j,1.95312498433e-09,66
f i v,1.95534119539e-09,69
b e s,9.039122967e-08,88
k e k,4.98577257394e-07,80
l e r,1.73593565081e-07,30
g i v,1.25039246164e-07,30
p i w,1.95312498534e-09,32
s e j,1.9531249843e-09,88
j i r,1.95312498431e-09,84
f e r,2.24489549448e-08,97
g i d,2.22233225182e-07,31
d e n,6.64852010715e-07,56
p i m,5.0668556769e-07,55
k i m,4.57849936809e-07,43
h i f,3.40059068957e-08,66
z e w,1.95312498434e-09,46
n i b,4.81853645011e-07,78
p e p,2.26249153475e-07,67
l e l,1.95312498432e-09,71
f e r,1.64177848189e-08,57
k e s,7.13694495417e-08,56
m i j,1.95312498433e-09,4
m i d,5.03815749107e-07,83
b e r,1.7000803876e-08,15
d e s,9.30454810075e-08,12
r i g,1.55982025981e-08,6
j e b,1.71941175572e-08,26
s i n,3.75744105406e-07,20
t i g,2.07701890174e-07,43
h i l,4.14069556129e-08,67
d i g,1.44831083297e-07,45
f i N,6.07538783267e-07,50
g e v,1.40417292273e-07,64
m e s,1.98888924213e-07,28
k e n,5.78790731089e-07,20
f i b,1.17377118798e-07,40
h e n,8.45201815986e-07,8
b i n,1.00214418554e-06,79
d e z,4.37942246817e-08,80
s e m,2.84453693026e-07,36
h e p,6.77228458027e-07,43
w i l,1.9531249843e-09,88
z i N,5.58135523771e-07,46
z i w,1.95315315743e-09,18
w e h,1.07541179017e-08,91
k i h,2.00571624012e-08,45
z e h,3.71602792047e-08,98
n i g,6.51832542377e-07,54
d e n,8.70183479957e-07,78
l i f,3.71578436603e-08,83
t e h,7.6587089384e-08,63
r e s,6.35408527888e-09,41
j i r,1.95312498435e-09,38
N i b,3.10097074159e-07,30
g i j,1.95745622437e-09,11
r i N,1.28152787659e-07,49
g e p,2.53675013433e-07,97
f e l,3.87504708425e-08,59
d i N,6.42267567614e-07,38
z e k,1.3273231619e-07,59
n i f,2.0502556837e-07,65
p e t,6.45995402039e-08,78
l i s,1.95312498434e-09,53
r i s,6.35353359745e-09,98
f i g,2.19086187669e-07,28
w e N,1.91401882891e-07,87
k e w,1.95312498433e-09,59
m i n,4.5724979747e-07,9
b e v,8.36171160434e-09,2
g i k,9.6143938356e-07,92
j e f,2.39580719601e-08,37
N e f,3.16656008555e-07,14
d i t,1.94943302002e-07,48
h i h,4.62014581391e-08,94
v e j,1.9531249843e-09,89
z i m,1.5523768688e-07,40
p e s,5.10644122082e-08,31
r e t,1.28695654192e-08,39
k e b,8.85733607678e-08,1
h e b,8.49864217525e-07,7
b i j,1.95312498433e-09,66
t e n,1.4987561254e-06,93
g i h,2.14780345775e-07,97
h e t,6.10641834454e-07,54
g e g,2.7813289514e-07,28
j e N,1.19947209835e-07,77
m i j,1.95312498431e-09,76
z i s,1.80968689264e-08,31
w e t,1.95312498431e-09,76
g i b,2.45095090141e-07,80
k i t,7.38158400733e-08,6
v e s,2.19777876902e-08,93
z e l,5.54398560851e-08,81
p e N,4.79258063646e-07,2
g i d,3.35305306464e-07,67
l i j,1.95312498429e-09,94
t e t,2.10715706302e-07,42
N i p,3.44856200316e-07,34
r e w,1.95312498435e-09,38
w i z,1.95312498431e-09,80
N i f,3.10843880667e-07,17
b i m,2.97771563231e-07,11
g i n,1.0214234391e-06,8
f e z,1.95849380998e-09,79
n e w,1.95312498429e-09,94
d i p,5.76499307078e-08,2
r i m,7.53317678567e-09,43
n i t,2.45308818162e-07,33
g e n,1.05374929225e-06,12
l i w,1.95312498434e-09,46
l e m,2.92442260716e-08,39
k i m,7.4009118391e-07,79
m i r,1.95312505393e-09,26
s e t,1.16843829263e-07,29
b e z,4.4142092965e-08,21
N e j,1.95312498431e-09,83
t i m,3.99138249468e-07,20
j e z,1.95312498434e-09,48
s i f,6.44923365586e-09,14
N e d,3.70950903643e-07,60
n e v,1.18858780949e-07,1
p i p,1.83252988252e-07,86
v e v,1.95312498431e-09,76
r e j,1.95312498432e-09,67
t e N,4.45391445986e-07,14
p e w,1.95312498505e-09,32
k e f,5.36616677266e-08,62
s e g,1.63471818392e-07,15
N i k,4.61926698779e-07,51
b i f,3.70019072731e-08,85
j i g,1.16749249862e-08,18
b i t,8.478564598e-08,24
v i s,1.66757226605e-08,59
k i p,1.07046836776e-07,59
v e p,2.01420366177e-07,81
h i k,3.8404884014e-06,96
p i w,2.10892044548e-09,7
p e d,1.57305588435e-07,92
l i n,8.98863041216e-09,85
t e p,2.03526629408e-07,37
j e h,1.95312498436e-09,23
N i t,5.61421991965e-07,49
l e t,7.68929531004e-09,48
g i w,1.9531249843e-09,91
v e n,8.46687214084e-07,94
b e m,6.84730477942e-07,60
g i b,1.92242515888e-07,61
w e z,1.95312498429e-09,92
d e m,4.85494308636e-07,63
z i s,2.6275598592e-08,90
f e f,9.94064457455e-08,90
p i l,2.23662879651e-08,50
d i t,1.50408005455e-07,29
j e d,3.27671911135e-08,61
r e b,1.27497351211e-08,37
w i r,1.95312498433e-09,63
m i d,2.58091982972e-07,22
l i m,2.16125464201e-08,20
s i v,1.95975386144e-09,90
N i w,1.9531249843e-09,88
w e m,2.64948587245e-08,40
v i t,1.391732343e-07,65
l e g,1.30518078673e-08,42
n e d,2.63620944369e-07,33
h e m,2.51453696647e-06,88
n e r,1.42786706326e-07,28
m e s,2.79644887976e-07,84
p i l,2.52164780763e-08,65
s i v,1.95700089513e-09,62
v e r,2.6465000069e-08,71
N i w,1.95312498434e-09,51
l e g,1.64977768799e-08,91
f i h,1.95583004452e-08,34
h e h,4.73809069421e-08,14
k e z,5.47386602494e-08,43
s e k,1.61505083299e-07,26
h e z,4.89545449789e-08,97
b i b,1.70965483312e-07,40
d e t,1.1671353071e-07,65
j e p,2.34119348783e-08,88
b i p,8.42120979489e-08,15
v i w,1.95312498434e-09,56
h e n,1.18774238848e-06,48
m e m,6.51500133369e-07,73
h e w,1.9531249843e-09,90
b e j,1.95312498433e-09,63
z e d,1.4042539505e-07,75
p i s,4.413828526e-08,8
p e h,4.7008969547e-08,87
b i h,5.73645166816e-08,8
l e p,1.79702668283e-08,35
g i p,1.49851710491e-07,13
j e m,1.95312498431e-09,84
N e m,7.78157265594e-07,95
j i t,1.95312498431e-09,77
g i f,1.30190805377e-07,34
j e s,1.25045010668e-08,1
d i f,4.8968618626e-08,21
f e b,2.9280043033e-07,85
n i N,1.22267103431e-06,28
h i d,1.38994847164e-06,87
m e f,2.0321795688e-07,93
p e n,7.82902178968e-07,76
z e g,1.76678813538e-07,18
b i m,8.01106184606e-07,82
m i h,1.53580995903e-07,3
w i m,3.15446276241e-08,30
v i z,2.24527452574e-08,97
b e b,2.41516575634e-07,59
t i s,1.0917436055e-07,1
g e j,1.95312498457e-09,34
N e l,1.95867301572e-09,12
f e w,1.95312588642e-09,23
h i b,1.11985296617e-06,60
d e m,5.20169797382e-07,68
n e N,1.40715973439e-06,39
z e p,2.30044773587e-07,46
k e h,4.30687180883e-08,7
f i l,8.69848054668e-09,49
h e l,6.06894464775e-08,1
b e d,3.99432945621e-07,96
d e p,2.24382703089e-07,76
j e t,8.75951481894e-09,79
h i w,1.95312498465e-09,32
v i k,1.68290776229e-07,45
k i j,1.95317378933e-09,20
d e t,1.70139846853e-07,92
f i f,7.6764572118e-08,94
N i w,1.95323259883e-09,15
m e d,4.46089027065e-07,63
f i t,3.54692021055e-07,89
l e b,6.52724962639e-09,7
d e r,2.21880152286e-07,77
h e k,3.5549305422e-06,72
g i t,2.24213141865e-07,6
d i h,7.27995886704e-08,53
j i p,9.10606161565e-09,88
f e p,1.60119604955e-07,77
N e j,1.95312498429e-09,93
j e w,1.95312498436e-09,30
d i z,1.62621700688e-08,8
f e n,6.29226065064e-07,32
h i v,7.84474230151e-09,91
n i r,1.60388316563e-07,39
v e m,1.60338948636e-07,29
m e b,4.85719194486e-07,86
p e r,2.91665891196e-08,83
r i f,3.71571060221e-08,91
m e N,2.12484615178e-06,99
t e m,3.31413092826e-07,25
f i w,1.9531249849e-09,32
b e p,6.02002576282e-08,7
r i w,1.95312498434e-09,45
w e g,3.55087670709e-08,43
w e r,1.95312498434e-09,52
z i r,1.70760995093e-07,35
n e n,7.64820918121e-07,52
N e h,2.85781591462e-07,27
f e s,1.31899350708e-08,28
d i j,1.95312498432e-09,70
h i n,1.06717162374e-06,51
m i k,4.5881478039e-07,43
l e h,6.35403419189e-09,48
l i p,2.47546837339e-08,99
w i N,1.47423496683e-07,2
l i b,9.18543492767e-09,90
b i l,1.01237500126e-08,71
k e r,3.16439259389e-08,93
s e s,1.33691224855e-08,48
h e r,2.14050749079e-08,91
z i g,1.38167977038e-07,9
r e s,6.35373543448e-09,81
j i k,1.51225834695e-08,73
h i s,2.01451981373e-08,61
k i v,3.24950836946e-08,1
t e z,3.79159352444e-08,54
z i m,3.05820615992e-07,91
f i z,1.95791058567e-09,73
p i k,2.82772521847e-07,38
t e j,1.95312498435e-09,39
j e k,6.65568557979e-09,12
N i r,1.95312541265e-09,23
n i g,5.62038271102e-07,37
r i f,3.71618379387e-08,21
b e k,6.75872809421e-07,30
g i h,1.61279972906e-07,19
w e p,2.92948652335e-08,58
d i l,1.62922972143e-08,56
p i s,5.67081387926e-08,45
N e s,2.85842180543e-07,10
n e j,1.95312498432e-09,72
f e j,1.95312498434e-09,51
h i r,1.06375899093e-08,78
n i v,5.52339321927e-08,42
p i N,4.88557213691e-07,19
p e h,3.76879910963e-08,50
z e N,9.73868587725e-07,89
m i k,7.28227181262e-07,97
r e g,1.29907250012e-08,41
g e n,1.66424481809e-06,78
m i p,2.35433748565e-07,37
b e t,9.62277680613e-08,18
r i s,6.35422998294e-09,18
j e s,6.35374614731e-09,80
v i r,2.6465000069e-08,71
n e j,1.95312498433e-09,63
N e d,2.49144580284e-07,22
h i j,1.95312498435e-09,38
b e w,1.95312498428e-09,99
z e z,1.41080564298e-08,37
v e h,1.5157543916e-08,69
r e d,2.38908143774e-08,92
r e z,1.95312498436e-09,31
w i f,1.95555724061e-08,81
b i h,8.92401711133e-08,82
g e w,1.95312897046e-09,21
h e v,3.02119909551e-08,78
b i v,1.26995251443e-08,1
w e d,1.61802788248e-08,87
w e r,1.9531249843e-09,88
s i l,5.2140227789e-08,56
k i r,3.67593338834e-08,14
l i h,1.07541890118e-08,88
z e b,2.29767472496e-07,77
t i h,1.08481717692e-07,20
p e b,1.82851046035e-07,69
r e g,1.14103058634e-08,13
j i t,1.95312498435e-09,32
m i w,1.95312498441e-09,35
N i v,1.24362340527e-07,26
l e z,1.95312498435e-09,41
d e f,2.93005382036e-08,35
N i d,5.6526086018e-07,93
b i k,6.17850188252e-07,59
g i l,2.2716051406e-08,44
g e f,1.84690954407e-07,97
v e g,1.71721990453e-07,50
p i h,7.44160486297e-08,78
n i z,1.09126753301e-07,61
z e m,4.11820234681e-07,86
z e m,2.86937048445e-07,60
n i h,2.5737671428e-07,96
f i k,4.16036823716e-07,96
p i t,2.59598126452e-07,85
m i b,2.38981982368e-07,5
h e N,3.72301764965e-06,83
f i k,2.74662470635e-07,62
z i l,9.24874765396e-09,58
m i t,2.86550385483e-07,42
s e z,9.29448447326e-08,1
j i b,7.29217226565e-09,35
b i s,1.05700839383e-07,67
h i N,3.61395779753e-06,95
z i z,2.1014094348e-08,9
n e f,1.97409401754e-07,42
v i d,2.19190740532e-07,61
p i n,8.84267184629e-07,79
p i r,1.93220548342e-08,78
p e g,2.49274996549e-07,27
r e h,1.95312498431e-09,83
f i j,1.9531249843e-09,87
k e d,9.62081461773e-08,38
h e s,5.17988860954e-08,91
j i w,1.95312498437e-09,9
b i d,2.29864305679e-07,97
g e s,2.00469255002e-07,24
j e r,1.95312498433e-09,65
N e z,2.54664937e-07,98
b i r,3.36856193606e-08,28
m i n,7.53651105149e-07,65
g i f,1.52568483722e-07,77
n i m,3.71165673524e-07,36
t i h,1.6317172259e-07,97
m e n,1.01473602176e-06,81
p e f,6.68058634447e-08,80
r e k,7.03345584198e-09,26
m e z,8.92524039115e-08,88
t e r,1.87541221086e-07,9
r i p,1.68223529207e-08,95
N i z,1.61640946066e-07,13
l e v,1.95312498435e-09,36
g i r,2.57866295167e-08,4
d e b,5.60679859229e-08,22
h e f,7.92802908175e-09,95
N i h,3.85927645972e-07,80
b i g,2.88081851234e-07,40
g e t,3.33609915051e-07,65
d i d,1.17179991911e-07,22
p e l,3.19084963163e-08,61
j e l,1.95312498431e-09,84
t e g,3.08426265759e-07,63
m i f,1.93177863785e-07,30
l e k,2.70158827924e-08,64
N e l,1.95312498429e-09,93
d e w,1.95312498434e-09,54
g i d,4.44012528317e-07,90
j i n,1.95312498436e-09,22
r i k,6.65568586072e-09,12
w e k,2.04231500615e-08,12
N e n,1.42078104281e-06,61
s i j,1.95312498431e-09,81
n e b,2.45196771328e-07,21
f e g,2.56786712559e-07,35
m i h,1.81359466275e-07,40
l i k,1.59831337117e-08,11
z e r,1.25176207474e-07,59
j e n,1.95312498429e-09,93
v e p,1.99036996777e-07,80
m e w,1.95312498451e-09,34
k e j,1.97829863805e-07,2
f i n,7.8561730327e-07,90
h e j,2.22230074455e-09,6
n e z,5.85555642655e-08,46
j i s,1.95330186621e-09,6
j e v,1.95312498429e-09,92
N e v,2.34895336486e-07,85
g e m,9.01716361856e-07,82
k i l,1.15238815021e-08,7
h i g,1.55316277683e-06,28
z e t,2.27654999369e-07,80
k i z,1.70752993227e-08,56
v e z,2.84727033227e-08,80
m e j,1.95312498433e-09,66
j i l,1.95312498432e-09,72
p e j,1.95312498429e-09,95
f i v,1.95698864115e-09,98
b e s,7.96764149566e-08,67
z i N,4.17231647945e-07,17
r i d,1.34254656357e-08,48
w i p,2.40069462226e-08,2
w i s,1.95312498434e-09,56
N i l,1.95312498432e-09,71
f e r,2.19201972384e-08,94
g i d,3.01550920537e-07,58
h i t,9.05438378995e-07,80
n e l,1.9531249843e-09,85
z e w,1.97939056358e-09,9
n i b,5.09891957124e-07,83
p e p,1.45623855908e-07,40
r e f,1.95570016789e-08,40
k e s,5.75469457272e-08,29
m i j,1.95312498435e-09,43
s e l,7.10176628362e-09,18
z i f,1.95312498432e-09,73
d e s,1.1608778563e-07,43
j i j,1.95312498437e-09,9
z i t,1.5614041687e-07,36
w e w,1.95312498436e-09,23
N e j,1.95312498434e-09,48
j e g,1.62963585515e-08,15
k e l,4.65254009016e-08,81
f i N,5.88333016005e-07,47
r e b,1.46235754293e-08,66
h i s,1.84581317155e-08,43
m e s,2.25377614648e-07,49
k e n,5.48455462527e-07,15
f i b,1.87105536701e-07,77
h e n,1.15677177e-06,45
b e j,1.95312498429e-09,92
h e p,8.25549342757e-07,64
d e r,2.28248927335e-07,96
N e r,1.95312498432e-09,72
j i m,8.21881443634e-09,64
b e N,5.64458170019e-07,18
k i h,1.59370390505e-08,8
z e h,3.71608851173e-08,79
n i g,4.73942330834e-07,17
d e v,9.02756014386e-09,45
b e n,4.94110175936e-07,34
l i f,3.71601609145e-08,52
t e h,7.25721662282e-08,36
z e p,1.64859170119e-07,21
b e w,1.95312498434e-09,48
r i r,1.82378728339e-07,80
t e z,2.81076943891e-08,19
N i b,3.25040060212e-07,35
t i j,1.95312498435e-09,43
d e j,2.00500190517e-09,8
d i j,1.95312498461e-09,33
r e f,1.95547669314e-08,98
r i N,1.16333407812e-07,22
s i w,1.95312512389e-09,24
f e l,2.81488306763e-08,20
h i p,7.09551424329e-07,67
v e k,8.12253163072e-08,9
z e k,9.2019854888e-08,30
n i f,2.33357920589e-07,94
p e t,4.08472690099e-08,43
w e f,1.51553533802e-08,68
l i s,1.95312498435e-09,40
f i g,1.76516388012e-07,7
s e b,1.50424948562e-07,54
m i n,5.76860134675e-07,36
s e p,8.85643396484e-08,7
z i b,2.10854536881e-07,68
w i g,2.67698159141e-08,89
k e v,3.64034175306e-08,91
t e m,8.4438036192e-07,91
z i p,1.04553578653e-07,19
w e s,1.07552417516e-08,26
v i b,7.56825834863e-08,19
n e z,4.77736078929e-08,19
v e j,1.95312498432e-09,70
r e f,1.95557428723e-08,77
p i g,3.25059035633e-07,68
l i r,1.11967924296e-07,83
r e t,1.11525183975e-08,8
h e b,9.8198344234e-07,32
b e n,7.49872179188e-07,71
k e p,3.49205700539e-07,89
h e t,8.16328602058e-07,83
g e g,2.93269325852e-07,33
